1617393300.000000, 1617393300.000000, 1617393300.000000
32.000000, 32.000000, 32.000000
26,-105,-13
27,-122,-4
21,-101,1
18,-67,7
14,-57,11
9,-51,6
9,-46,1
8,-42,2
1,-38,2
-1,-36,-1
-5,-34,-8
-6,-43,-8
-5,-49,-12
4,-48,-8
9,-47,-2
2,-78,-6
21,-101,6
33,-112,20
28,-128,17
16,-126,9
16,-84,4
6,-68,1
-4,-60,7
11,-55,15
17,-54,16
31,-48,18
34,-47,17
42,-51,17
48,-66,24
43,-68,20
36,-78,10
24,-88,1
26,-128,9
27,-111,-2
23,-121,-18
15,-128,-23
8,-118,-12
13,-88,12
14,-70,7
11,-64,3
8,-55,-3
6,-53,-7
3,-47,-6
-3,-44,-7
-7,-43,-9
-8,-53,-8
-12,-59,-12
-13,-45,-13
-8,-44,-9
2,-81,-10
43,-94,25
52,-99,39
11,-111,18
4,-114,3
-2,-94,1
-7,-79,9
-1,-79,12
14,-71,15
29,-62,14
35,-59,16
41,-52,16
44,-54,15
47,-72,16
45,-70,13
44,-72,12
34,-97,10
36,-121,11
30,-114,-1
23,-115,-15
10,-128,-25
7,-114,-5
11,-90,5
14,-72,10
6,-64,7
7,-51,4
-11,-42,-10
-8,-45,-10
-10,-36,-6
-10,-38,-4
-11,-44,-9
-11,-58,-8
-9,-60,-8
-3,-58,-2
-8,-77,-7
3,-110,-5
17,-117,6
26,-128,14
11,-128,12
17,-113,10
12,-70,7
4,-64,6
13,-60,10
16,-55,14
21,-49,15
29,-44,15
33,-46,13
46,-60,14
41,-67,13
39,-71,13
30,-84,4
31,-114,3
31,-126,1
8,-128,-33
-10,-128,-33
-4,-111,-1
2,-87,15
13,-63,15
15,-60,-6
-4,-58,-19
-32,-48,-16
-27,-37,-13
-19,-32,-9
-5,-35,-7
-1,-45,-7
1,-58,-14
-1,-55,-15
10,-54,-4
12,-68,-3
38,-101,5
35,-107,25
10,-118,13
-13,-121,-5
-10,-105,-2
-1,-73,8
12,-51,10
18,-45,12
23,-42,18
24,-41,21
22,-37,22
19,-45,19
19,-53,18
15,-68,9
